"BooksReaderID","BookID","ReaderID","DateIssued","ReturnedDate","Type"
"865","1506","111","2005-02-04 00:00:00.0","null","Copy"
"867","160","111","2005-02-04 00:00:00.0","null","Copy"
"868","1562","111","2005-02-04 00:00:00.0","null","Copy"
"869","2120","111","null","null",""
"870","2120","111","2005-02-04 00:00:00.0","null","Copy"
"871","1434","111","2005-02-04 00:00:00.0","null","Copy"
"872","3152","111","2005-02-04 00:00:00.0","null","Copy"
"873","1025","111","2004-10-25 00:00:00.0","null","Copy"
"874","1438","111","2005-02-04 00:00:00.0","null","Copy"
"875","450","111","2005-02-04 00:00:00.0","null","Copy"
"876","982","111","2005-02-04 00:00:00.0","null","Copy"
"877","1436","111","2005-02-04 00:00:00.0","null","Copy"
"878","2188","111","2005-02-04 00:00:00.0","null","Copy"
"879","2617","111","2005-02-04 00:00:00.0","null","Copy"
"880","1696","111","2005-02-04 00:00:00.0","null","Copy"
"881","407","111","2005-02-04 00:00:00.0","null","Copy"
"882","407","111","null","null",""
"883","3491","111","2005-02-04 00:00:00.0","null","Copy"
"884","3490","111","2005-02-04 00:00:00.0","null","Copy"
"885","816","111","2005-02-04 00:00:00.0","null","Copy"
"886","1245","111","2005-02-04 00:00:00.0","null","Copy"
"887","1727","111","2005-02-04 00:00:00.0","null","Copy"
"888","1888","111","2005-02-04 00:00:00.0","null","Copy"
"889","1890","111","2005-02-04 00:00:00.0","null","Copy"
"890","2197","111","2005-02-04 00:00:00.0","null","Copy"
"891","1632","111","2005-02-04 00:00:00.0","null","Copy"
"892","1527","111","2005-02-04 00:00:00.0","null","Copy"
"893","1631","111","2005-02-04 00:00:00.0","null","Copy"
"894","2196","111","2005-02-04 00:00:00.0","null","Copy"
"895","393","111","2005-02-04 00:00:00.0","null","Copy"
"896","222","111","2005-02-04 00:00:00.0","null","Copy"
"897","2833","111","2005-02-04 00:00:00.0","null","Copy"
"898","1236","111","2005-02-04 00:00:00.0","null","Copy"
"899","2062","111","2005-02-04 00:00:00.0","null","Copy"
"900","1437","111","2005-02-04 00:00:00.0","null","Copy"
"901","1863","111","2005-02-04 00:00:00.0","null","Copy"
"902","1099","111","2005-02-04 00:00:00.0","null","Copy"
"903","335","111","2005-02-04 00:00:00.0","null","Copy"
"904","209","111","2005-02-04 00:00:00.0","null","Copy"
"909","2438","111","2005-02-14 00:00:00.0","null","Copy"
"910","3001","111","2005-02-14 00:00:00.0","null","Copy"
"911","2165","111","2005-02-14 00:00:00.0","null","Copy"
"912","2054","111","2005-02-14 00:00:00.0","null","Copy"
"913","1418","111","2005-02-14 00:00:00.0","null","Copy"
