BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
1264,429,2000-11-22 00:00:00.0,54,2003-08-08 00:00:00.0,copy
3307,430,2002-03-21 00:00:00.0,54,2003-08-08 00:00:00.0,photocopy
3143,431,2001-01-30 00:00:00.0,54,2003-08-08 00:00:00.0,photocopy
2154,432,2000-11-22 00:00:00.0,54,2003-08-08 00:00:00.0,copy
2794,433,2000-11-08 00:00:00.0,54,2003-08-08 00:00:00.0,copy
1432,434,2000-11-08 00:00:00.0,54,2003-08-08 00:00:00.0,copy
1616,435,2000-11-22 00:00:00.0,54,2003-08-08 00:00:00.0,copy
3225,436,2001-07-10 00:00:00.0,54,2003-08-08 00:00:00.0,copy
2795,437,2000-11-08 00:00:00.0,54,2003-08-08 00:00:00.0,copy
1669,438,2000-11-08 00:00:00.0,54,2003-08-08 00:00:00.0,copy
3218,439,2001-07-10 00:00:00.0,54,2003-08-08 00:00:00.0,copy
1126,440,2000-11-22 00:00:00.0,54,2003-08-08 00:00:00.0,copy
1126,441,2001-07-10 00:00:00.0,54,2003-08-08 00:00:00.0,copy
2377,442,2000-11-22 00:00:00.0,54,2003-08-08 00:00:00.0,copy
3142,443,2001-01-30 00:00:00.0,54,2003-08-08 00:00:00.0,photocopy
2118,444,2000-11-22 00:00:00.0,54,2003-08-08 00:00:00.0,copy
770,445,2000-11-22 00:00:00.0,54,2003-08-08 00:00:00.0,copy
3318,446,2002-08-29 00:00:00.0,54,2003-08-08 00:00:00.0,photocopy
1503,447,2001-02-23 00:00:00.0,54,2203-08-08 00:00:00.0,copy
1503,448,2001-02-23 00:00:00.0,54,2003-08-08 00:00:00.0,copy
194,449,2001-02-14 00:00:00.0,54,2003-08-08 00:00:00.0,photocopy
3148,450,2001-01-19 00:00:00.0,59,2003-08-08 00:00:00.0,copy
3221,451,2002-01-15 00:00:00.0,12,2003-08-08 00:00:00.0,copy
3033,452,2001-02-14 00:00:00.0,54,2003-08-08 00:00:00.0,copy
1224,453,2001-08-02 00:00:00.0,43,2003-09-09 00:00:00.0,copy
3317,454,2003-09-09 00:00:00.0,37,2003-09-09 00:00:00.0,copy
3097,455,2001-08-02 00:00:00.0,73,2003-09-11 00:00:00.0,copy
2091,456,2001-08-02 00:00:00.0,73,2003-09-11 00:00:00.0,copy
3429,457,2003-09-15 00:00:00.0,21,2003-09-23 00:00:00.0,copy
3310,458,2002-03-26 00:00:00.0,83,2004-01-12 00:00:00.0,copy
3311,459,2002-03-26 00:00:00.0,83,2004-01-12 00:00:00.0,copy
3394,460,2003-02-20 00:00:00.0,84,2004-03-16 00:00:00.0,copy
3394,461,2004-03-16 00:00:00.0,81,2003-01-16 00:00:00.0,copy
692,462,2003-08-04 00:00:00.0,98,2004-03-22 00:00:00.0,copy
2578,463,2003-08-04 00:00:00.0,98,2004-03-22 00:00:00.0,copy
3317,464,2002-04-15 00:00:00.0,43,2004-03-23 00:00:00.0,copy
2827,465,2000-01-28 00:00:00.0,43,2004-03-23 00:00:00.0,copy
2840,466,1998-08-26 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2841,467,1998-08-26 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2785,468,1998-02-09 00:00:00.0,7,2004-03-23 00:00:00.0,copy
1540,469,1998-09-28 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2864,470,1998-10-30 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2506,471,1998-09-07 00:00:00.0,7,2004-03-23 00:00:00.0,copy
937,472,1998-09-07 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2870,473,1998-10-30 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2855,474,1998-10-30 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2869,475,1998-10-30 00:00:00.0,7,2004-03-23 00:00:00.0,copy
1894,476,1998-09-28 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2603,477,1998-07-22 00:00:00.0,7,2004-03-23 00:00:00.0,photocopy
3340,478,2002-07-11 00:00:00.0,43,2004-03-23 00:00:00.0,copy
1752,479,2000-01-17 00:00:00.0,43,2004-03-23 00:00:00.0,copy
2678,480,2000-01-28 00:00:00.0,43,2004-03-23 00:00:00.0,copy
1300,481,2000-01-28 00:00:00.0,43,2004-03-23 00:00:00.0,copy
2719,482,2001-08-02 00:00:00.0,43,2004-03-23 00:00:00.0,copy
1027,483,2001-08-02 00:00:00.0,43,2004-03-23 00:00:00.0,copy
2828,484,2000-01-28 00:00:00.0,43,2004-03-23 00:00:00.0,copy
2468,485,2000-01-17 00:00:00.0,43,2004-03-23 00:00:00.0,copy
2651,486,2000-12-23 00:00:00.0,43,2004-03-23 00:00:00.0,copy
2614,487,1997-07-09 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2613,488,1997-07-09 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2776,489,1997-12-01 00:00:00.0,7,2004-03-23 00:00:00.0,copy
2650,490,1997-07-24 00:00:00.0,7,2004-03-23 00:00:00.0,copy
95,491,1998-09-07 00:00:00.0,7,2004-03-23 00:00:00.0,copy
