source_db,old_topic_id,old_topic_name,new_book_topic_id
db1,389,cross-media publishing,71d2e22a-6e1e-4e90-9de5-0442cc856e8e
db1,390,service delivery,97f50fb6-6026-451c-9222-6f05684f80c8
db1,391,Socio-Ecocomic Issues,6c894882-53fb-4164-aa0b-646b8b4881db
db1,392,Information design,97364374-d575-4541-947f-31df1fe80a8a
db1,393,Environment,f4b55372-7f70-4460-9279-9bf7736f06cf
db1,394,Assessment,72a81f7f-780e-4a1a-89eb-1747e802d65c
db1,395,Mobile Devices and Services,381e5c3b-bc77-42c1-82f1-e701216926c3
db1,396,Web Servers,466cbb93-9003-4602-91c3-428e97db1981
db1,397,Networking,e3e7a399-d509-41a8-8b01-922384be241d
db1,398,Employment,cf65ac7a-df24-4287-b4f7-6a7f77656313
db1,399,eGovernment,064521f8-d477-4da7-950f-1b55eff2a642
db1,400,Social Inclusion,b0b1b79d-efdf-49b7-9052-8e28455b7737
db1,401,Culture,fa93dc4c-04f7-4f4e-9062-06c51102f595
db1,402,Social Exclusion,2dcbf670-35a1-4375-b99b-255d0b382df0
db1,403,Visualisation,47e05581-bad9-4979-8c82-75ca787f7378
db1,404,Reasoning,2c5dedc7-7931-4a69-9398-ae527516f372
db1,405,Disability and computers,4ea1a7f7-8a53-4006-b9dd-ce2641643cf1
db1,406,eAccessibility,dbbf7fcd-804f-4798-b64f-ae76c2ea6e24
db1,407,eInfrastructure,01be3721-155b-49cf-8b0a-276c65ad36de
db1,408,Interfaces,6d70c1c5-bb26-493b-9e0f-3f3ec7a9d5b3
db1,409,Optoelectronics,c49d336c-aad1-4bf3-8fae-3f3e0def06b8
db1,410,Circuits,bce4b195-f55a-45dc-bd69-8582a09f8ca7
db1,411,eAdoption,6d87baf7-627e-46b8-a2a6-26c305b67ae3
db1,412,Knowledge Economy,7b298e3e-61e3-4a98-b0ba-cca193cebc83
db1,413,Feedback and control systems,8926c2ae-cf2c-483e-bc12-9e0fd2345321
db1,414,Mental retardation,c38dc579-8c7e-43ea-b930-8066193c9566
db1,415,Workshops,d9e6d816-c98f-4ae7-85d5-c5c2a8074456
db1,416,Market Analysis,f7e1ea0e-b605-49d5-8975-1c07991291db
db1,417,Video Games,f694c02e-9da3-44f7-a628-ef5728e752f8
db1,418,Cost,3a036abc-df73-4e96-9a88-a3ffe85db361
db1,419,New Technologies,7b012f9f-86d9-4bb1-909e-809f21b8cc4f
db1,420,Games,51f42f82-d54a-4a58-924e-762b6504c2a5
db1,421,Visual disability,c725e248-8e22-4a29-b9c7-bbbef3fe8a2b
db1,422,Ambient Intelligence,6ae53e39-8ac1-4d8a-ab50-8058c363f21c
db1,423,Mobility impairments,83e9a04d-82cc-4ad1-87cb-79a10b092d2c
db1,424,Security,801461c1-0df5-42b9-a48b-25b29e6ae80a
db1,425,programme design,97b9d053-6319-48bc-b72f-529883b724cf
db1,426,impact assessment,4e2408d6-a1d3-4c65-afcb-41c795000299
db1,427,transnational cooperation,78af9411-dea0-4def-984f-1c964f8cf59e
db1,428,portals,7d385107-0ba9-43f2-aa2f-d8eca8523ce0
db1,429,taxonomies,ec93f9d0-7032-41a5-acf2-ba81533fe64b
db1,430,Graphics design,6e0497ce-0182-4afb-8b6d-6872e21e03fb
db1,431,e-Inclusion,a61fe6e3-9e0a-4a30-9e41-22c7188fc915
db1,432,Internationalization,5292aee8-3535-4de8-9cca-7e88f8ea22fe
db1,433,Management Information,298d64dd-358c-4028-abdc-0d6046d43d61
db1,434,Computer Work,727ad9b4-a873-4fe3-b385-f145e5c52922
db1,435,Applications/Services,a917fb4f-499e-49dd-9c81-becc400a83bf
db1,436,Multimodal Environments,66921327-6fe9-4c7b-92a4-64b451ad3f52
db1,437,Interaction Design,46a4e01b-9934-4b0f-8016-24f761295a92
db1,438,Online Communities,691f1572-0e89-4b44-acab-9f48baf2c9c0
db1,439,Social Computing,dbb54e26-2b5a-4cce-a0d9-5f6a0c0d6970
db1,440,Human Modeling,ca51f49c-e6f1-4e02-9b19-bcba7896a620
db1,441,Augmented Cognition,1f1ebb0f-0ea5-4cb9-8a81-a8b91895ea4c
db1,442,Engineering Psychology,61bb5929-b3a1-417e-954e-7ac497d4f8c6
db1,443,INTUITION,2c86812d-0ed8-43a0-9084-46617bea412b
db1,444,Knowledge Capture,ac26be18-0ce3-4fb1-b847-80b406c4a3fa
db1,445,Pervasive Computing,a3370cc5-05a4-41d8-8207-7e13631ae7a0
db1,446,Functionality,0577a4d8-171c-458d-850e-7b7aedc6a848
db1,447,Software Visualization,0139460e-46a8-4db1-be7b-bdc8ac7eb312
db1,448,Web accessibility,cd09cbd5-340b-4a79-8472-189f6885db97
db1,449,Χωροταξία - Περιβάλλον,8391c82c-149e-4d56-bb3f-e4502961c007
db1,450,wireless networks,20c73a45-764f-4054-9978-b1cf238836fd
db1,451,peer-to-peer computing,d5cab847-b416-4f63-a116-41d1bb4676c4
db1,452,Informaton & Communication,d44903cb-8c1e-4972-bdb8-5c3c77672d19
db1,453,elderly,615d3ea0-ed62-4159-8ba5-3f5e9cdb607a
db1,454,services,2e5e44a1-9876-41e2-b10f-8d0e582d8654
